disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5045,,,,,875256.85,157759.78,,2023-10-09T00:00:00.000Z,,0,89ac1e5cbac29aff6108a8a99303fde35e644d16,2023-10-09T04:03:28.911Z,b09f3698-f5ce-4f3c-bcf5-08f418841e53
5046,,,,,7528839.33,3244.84,,2023-10-09T00:00:00.000Z,,0,106fa7c8a0e4fd800392b21bfd3c6cee9df8aed1,2023-10-09T04:03:28.911Z,737be05e-9339-4574-a3fa-4b7d0b65e825
5047,,,,,2540783.4,15480.53,,2023-10-09T00:00:00.000Z,,0,64f26a1cc99a1d0a2c1badb4c9b3b2d52d2d15fc,2023-10-09T04:03:28.911Z,4dbefb88-bd41-4087-95a6-53671cceb6f2
5048,,,,,2273317.23,18443.35,,2023-10-09T00:00:00.000Z,,0,1c15140248b50006512bb8272290dc98883bca32,2023-10-09T04:03:28.911Z,c3133f5e-122c-43e9-9ce4-1ca4c3deb1cb
5049,,,,,457025.18,27733.85,,2023-10-09T00:00:00.000Z,,0,994c573cd340981ee106019472387bd6fb974944,2023-10-09T04:03:28.911Z,47751034-af50-44b3-919e-4b62f8e6d435
5050,,,,,4558436.47,95579.78,,2023-10-09T00:00:00.000Z,,0,68edbbe5e64ec2a4f6bd10bf59c81db9f61c25fb,2023-10-09T04:03:28.911Z,824235d5-e315-4827-b24c-4d6331a043b7
5051,,,,,0,0,,2023-10-09T00:00:00.000Z,,0,9e6a1046db62b87b4d176226923eb21a5294c374,2023-10-09T04:03:28.911Z,8ec0ca0a-5b28-46d3-aa89-b7dd900233fe
5052,,,,,543827.73,30175.29,,2023-10-09T00:00:00.000Z,,0,c580644a25adb6685afbf8c40f9ed92a22767880,2023-10-09T04:03:28.911Z,f61e5158-dc63-4c0e-a8f5-752cbd4af291
5054,,,,,1385550.7,351331.12,,2023-10-09T00:00:00.000Z,,0,2f222cb93eb860e32313839b979f6766301d5195,2023-10-09T04:03:28.911Z,d1f812bd-376c-473c-a381-1692422fced1
5055,,,,,9288969.03,907470.7,,2023-10-09T00:00:00.000Z,,0,ff8083a90c4fde52be09d930f036feeb84d29e78,2023-10-09T04:03:28.911Z,8b32b10f-3530-4771-a770-681fbb249510
5056,,,,,2758839.89,46901.43,,2023-10-09T00:00:00.000Z,,0,d0a67b5e53ef55fd6ed00ed51811f5ef8d01e2d9,2023-10-09T04:03:28.911Z,042b15f9-322c-4068-9cd7-aea5925cd021
4396,395,1011549.7,628323.13,383226.57,5661152.47,888204.12,4174999,2023-10-09T00:00:00.000Z,2023-10-09T00:00:00.000Z,22044.75,0f14b22d46d58079b0861443d814a4213ac2f103,2023-10-09T05:42:34.457Z,49cdc0c9-4d0e-467b-b280-a116726da33a
5057,,,,,5180774.01,25201.56,,2023-10-09T00:00:00.000Z,,0,f9525a2764518ca485d1bcc284a7e1dc4f42f3b9,2023-10-09T04:03:28.911Z,ad4b8a63-4f4d-41e8-8f6f-0ace0be0e886
5058,,,,,836129.26,5704.24,,2023-10-09T00:00:00.000Z,,0,dd8a795213e55196939cf009b01f0d7db4d3357e,2023-10-09T04:03:28.911Z,5d5f6005-5edf-4397-b303-5d677eb708f9
5059,,,,,1329554.54,88250.84,,2023-10-09T00:00:00.000Z,,0,15b775660fcb50fcbe05c0c1b7f85c47ce5dcafe,2023-10-09T04:03:28.911Z,6d5201ce-2558-4406-b0a6-cf8f74d72a14
5060,,,,,2498698.87,4801.23,,2023-10-09T00:00:00.000Z,,0,7e5195742d173171089b441ed5da75e025ba26d5,2023-10-09T04:03:28.911Z,62eae2e7-16dd-4031-b4ec-6c7cc9bbf8ad
5061,,,,,9760200.98,34444.84,,2023-10-09T00:00:00.000Z,,0,2bf7edd5233be8c69510d932d5549f895e354d3c,2023-10-09T04:03:28.911Z,048c57b7-7ca5-44f7-895f-732a370449fb
5062,,,,,17351586.34,54506.81,,2023-10-09T00:00:00.000Z,,0,34c22fe5bd02a683633acb74f1c348c0b4f602cb,2023-10-09T04:03:28.911Z,1eb079b4-f0c4-4bb7-9072-b141c7a7d94b
